parent_asin,title,description
B00OTD72PA,Brain Wars,"[""---- The Rules ----・Outscore your opponents with simple brain teasers!・Defeat them and climb the worldwide rankings!・Challenge your friends with real-time matches!・Increase your Brain Power through continuous challenges!---- Real-Time Battle Experience ----Compete with worldwide challengers - LIVE! Test your opponents and push your brain to its limit!---- Play With Friends! ----Invite your friends for double the fun! Connect through FaceBook and challenge everyone! ---- Strive For World-class Rankings ----The stage is the world - Play against players from around the globe and place on the worldwide ranking!---- Simple & Intuitive Brain Training! ----Easy to understand mental training rules and concepts suitable for all ages! ---- The key to matches? ----Brain Teasers don't contain certain subjects or languages! Train your brain and easily adapt through repetition! ---- New and Updates ----・Official FaceBook Page https://www.facebook.com/brainwars・Official Twitter https://twitter.com/brainwars_jp---- Details ----BrainWars is a mental concentration battle game for players from around the world. Players of all ages can participate in this through simple brain teasers and compete with each other. Brain Teasers do not require special knowledge so everyone can improve their brain function through repetition and adaptation.""]"
B00EPANZV2,Jewels Deluxe Pro,"[""The power of magic jewels is in your hands! Switch and match 3 or more jewels to walk through more than 150 levels in this completely new puzzle adventure. Jewels Deluxe Pro is an addictive and delicious adventure filled with colorful gem crunching effects and well designed puzzles! With candy style jewels to eliminate in each level, Jewels Deluxe Pro is twice the fun but familiar to play. So let's get started now! How to Play: - Swap the jewels to match 3 or more in a line to remove them - Arcade Mode: Reach a specific goal to solve the puzzle (e.g. move the star jewels to the bottom) - Time Mode: Match as fast as you can to level up Game Features: - Match 4 jewels can win the jewel's bomb and 1 lighting.- Match 5 jewels can win the jewel's bomb and 2 lightings.- The jeweled bomb can eliminate the jewels around.- The Color-changing jewel can eliminate to any other colored jewel.- Lighting Jewel can eliminate jewels in one row or column- Arcade Mode: 150 challenging levels and more to come - Time Mode: There is no time to waste! - Stunning graphics with a highly polished interface - Sharp and animated visuals bring this jewels tale to life - Easy and fun to start but a challenge to get 3 stars in each level""]"
B00DRA55DW,Toe-Nail Salon (Kindle Tablet Edition),"['OMG, the day is getting hotter and hotter, it\'s time for us to wear the beautiful sandals and show out our pretty toenails!!!Girls, if you are really crazy about toenail design, if you are really expected to have various toenail decorations, if you are really excited to see so many toenail polishes, you\'ll absolutely love our Toenail Salon! Here you can do everything you ever imagined about your toenails, so don\'t he sitate any more, join the Toenail Salon, enjoy a shining and colorful summer!How to play:In our Toenail Salon, you can just tap a toe to zoom in on it and start designing your own nail art! Here you can choose from plenty of polish colors, many decorative patterns, tons of sparkling rhinestones, crystals, diamonds, gemstones, pearls, fimo, resin and so on to decorate your toenails. You can apply a different design to each nail or tap the ""Apply to All“ button to use the current design to all toes! Besides, you can also choose a more convenient way, for we have already designed some artistic toenail sets for you, just click your favorite set then have a rest and enjoy your bling toenails! After decorating your toenails , you can put a unique tat too on your feet, then wear a pair of beautiful sandal, which will make your toenail design more attractive! At last, you can either take a photo with your toenails as our cover girl, or share your works and happiness with your friends through E-mail or Facebook.Features: * Various backgrounds available to switch * Four different skin tones * 22 tat toos for you to put on your feet * 25 anklets for you to choose * 53 finished artistic toenail sets to choose from * 25 sandals to try on * Plentiful nail polish colors to choose * 41 toenail decorative patterns * Sparkling crystals, diamonds, and gemstones to use * Cute fimo & resin * Gorgeous gem alloy * Design each toenail differently or simply apply one design to all toes * Save your toenail design in your photo album * Share your designs easily through Facebook or E-mail with just one click * Take a photo with your toenail design as a cover girl * Continued improvements of this game, please feel free to send us your feedbacks and suggestionsNeed You Know:This app is totally free to download and play, some basic items are also free to use, but some additional items need you to purchase and pay to unlock. Therefore, if you do not want to use these items, please turn off the in-app purchase in your settings. Thanks.']"
B01DZW7G4W,Fancy Tale,"['Match and stitch irresistible fancy dresses, suits and bags, and make colorful new outfits for the friendly clients of Fancy Tale: Catherine the Cat, Pip the Penguin and many more! Get into the world of fame and haute couture and make them shine on the red carpet. Collect, match and create new designs in the most addictive fashion puzzle game. It’s free to play!Travel through different fashion shops from downtown boutiques to the Wild West countryside. Mix and sew from the newest creations or give a retro style a revival. Share your results with your friends and brag about your style! Do you fancy being the latest top fashionista? Enter a world of fame and compete in this shiny, addictive puzzle game with hundreds of levels. The wonderful fashion world of fancy tale is waiting for you… Your fashion boutique puzzle game!Follow us on Facebook page to get the latest updates: https://www.facebook.com/fancytaleAlready a fan of Fancy Tale? Like us on Facebook for the latest news: https://www.facebook.com/fancytaleSo what are you waiting for? Plenty of fashionable creations are ready for you in the most addictive game on Facebook. Play now! Please note that, while Fancy Tale is completely free to play, some in-game items such as extra moves or lives will require payment.']"
B00J9IH1RO,Skype WiFi,"['With Skype WiFi you can get online at over 2 million public WiFi hotspots worldwide at the touch of a button.Here’s how:1. Simply connect to any supported public WiFi hotspot.2. Open the Skype WiFi app and tap the big green Connect button…3. Ta-da! You’re now connected to the internet (wasn’t that easy?). You’re now free to browse the web, check your email or enjoy free calls and messages to all your friends and family with the Skype app – remember, it’s a different app to the Skype WiFi one. ;) Features:• Pay only for the minutes you use and avoid those expensive all-day internet passes.• No matter what hotspot you’re connected to, pay using your Skype Credit so you never have to fill out another complicated sign up form.• And so there’s no unexpected surprises, Skype WiFi will automatically disconnect after 30 minutes in case you forget to disconnect.System requirements: • Android device running Android 2.2 or newer• WiFi connection to compatible network• Skype Account or Microsoft account • Skype Credit in your account Skype WiFi is provided by 3rd party WiFi operators around the world.']"
B00E0MCYPS,Pocket Rally,"['Pocket Rally is an attempt to combine the best of both old school rally racing games and smart device experiences. Stunning visual graphics, realistic yet fun to drive car physics, all in the palm of your hand. Take the rally racing anytime, anywhere with you!Features:* Highly detailed and precisely made car models, beautiful and visually convincing racing tracks located in various spectacular sceneries including mountains, coastline and ancient city ruins.* Carefully tuned car physics to be both realistic and fun. Multiple ground surface properties including tarmac, gravel and grass. Each car has unique driving characteristics, and will evolve through the winning of races. * 5 control modes (including MOGA(TM) controllers and generic Bluetooth/OTG/USB gamepads) and 3 camera angles (in-game toggleable) to choose from.* Strength adjustable AI opponents. Up to 4 cars can race simultaneously in a game.* Introducing the Replay Mode. Performed a perfect power drift doing a hairpin turn and want to show your friends? Too occupied in the competition not able to admire your own driving technique and want to see it later? Replay Mode is the answer for you! The replay cameras are tailored for each track, recording the whole event from best angles and play it back for you.* 2 main game modes to play: Challenge mode and Single Race mode. Additional cars and tracks can be unlocked by winning challenges and to be chosen in Single Race mode.Currently there are 8 legendary rally cars, 8 tracks (including forward/reverse direction) and 65 Challenge mode events in the game, with more to come!Visit our Facebook fan page at:http://www.facebook.com/PocketRally']"
B01EO1PGMM,Hovercraft: Takedown - Custom Combat Cars,"[""Hovercraft: Takedown is the #1 combat racing, custom vehicle building, totally addicting, physics based, action game of the year!FEATURES* Build a completely custom Hovercraft and arm it with guns, lasers, missiles, and more!* Play with friends over Wi-Fi and fight through Multiplayer Survival Mode!* Smash enemy vehicles to pieces and cause crazy chain reaction explosions!* Equip up to 6 weapons simultaneously, and customize your loadout from thousands of possible combinations* Long range sniper cannons? 360 degree tracking lasers? Triple fire homing rockets? How about all of them, at the same time!* Blast your way through gorgeous rocky mountain passes at breakneck speeds* Counter enemy weapons with dozens of unique power ups and weapon types* Upgrade your Hovercraft squadron and become even more powerful* Endless loot! Collect & win tons of rare, epic, and legendary consumables & gear from card packs* Real-time damage models affect all of your Hovercraft's systems, from weapons to thrusters* Experience insane physics-based combat racing, like nothing you've played before!“I got 35 Takedowns! What’s a Takedown?...” – Margaret from California“Those #@$% laser trucks keep blowing up my power core!” – Noah from New Zealand“My custom Hovercraft is a flying cat with laser eyes and machine gun paws.” – Spark from New YorkFOLLOW UShttps://www.facebook.com/hovercraftgamehttps://twitter.com/HovercraftGamehttp://www.highscorehero.com/""]"
B00ENKWN1M,Crossword Puzzle,"['A great crossword puzzle! - Infinite play with dynamic grids - The grid adjusts automatically to your device - Personalize the size of the grid, from 3x3 to 25x25 - Absolutely FREE - An enormous list of words - Three difficulty levels ( easy, normal, hard) - Great to play on tablets - The grid will fill with words for you to figure out - The size of the grid will adjust to your device - ENGLISH language - An educational and fun game""A crossword is a word puzzle that normally takes the form of a square or a rectangular grid of white and black shaded squares. The goal is to fill the white squares with letters, forming words or phrases, by solving clues which lead to the answers. In languages that are written left-to-right, the answer words and phrases are placed in the grid from left to right and from top to bottom. The shaded squares are used to separate the words or phrases.The creating of crosswords is called cruciverbalism among its practitioners, who are referred to as cruciverbalists, from the Latin for cross and word. "" WikipediaA great crossword puzzle free appThree difficulty levels - Easy level crosswords puzzles for kids and beginners']"
B00FA6HWZU,My Boo,"[""Meet Boo, your new virtual pet! Boo is waiting for you to pet, dress, feed, teach, clean and take care of him! Look after your adorable little Boo and play 16 exciting mini games! All for free!Give your Boo cute looks and share his best moments with your friends. Boo is all the fun of owning a pet right in your hands. Are you ready for your baby Boo?Learn more and find exclusive My Boo content on Facebook: http://www.facebook.com/MyBooGame• ADOPT your Boo, give it a special name and watch it grow up! It’s so cute!• DRESS him up with countless outfits to give your Boo the best look! Just they way you want!• FEED Boo with candy, cookies, fruits, pizza or even sushi for a treat! Yummy!• TICKLE, play keepie uppie, trampoline or jump rope with your Boo to keep him happy and smiling!• TUCK your Boo in when the day is over and Boo is tired!• BATH your Boo to keep it clean and happy!• DECORATE every room of your Boo's house with dozens of awesome items!And a lot more! There’s always so much to do in My Boo!You will never get tired of your cute little pet monster!MINI GAMESHave fun with exciting mini games and earn coins to buy items and food for your Boo!• (NEW!) Boo Mix - Match Boos in a 2048 style game• (NEW!) Piano Boo - Tap the Boos and avoid the white tiles• Collecting - Collect the falling Boos• Flap Boo - Flap your wings and help Boo fly• Boo Hop - Jump as high as you can with your Boo in a platform game• Basket Boo - How many points can you score in this basketball game?• Odd Boo Out - Spot the different Boo within the group• Boo Slide - Solve small puzzles and collect the stars on your way• Booblegum - Blow big bubblegum bubbles with Boo• Whack Boo - Tap the Boos popping out from the chimneys• Bowling - Slide your Boo to hit others and score points• Jumping - Tilt your device to help Boo collect food• Sorting - Sort and pack different foods• Memory - The classic card matching game• Matching - A match-3 style game to combine Boos• Bubble Pop - Launch and combine Boos of the same colorFree new mini games with the updates of My Boo!Millions of kids and adults are already playing with their own virtual pet Boo!Your baby Boo is just waiting for you! What are you waiting for? Get yours now! It’s free!""]"
B00KY9M0HS,Dragons: Rise of Berk,"[""Build your OWN Berk! Rescue, hatch and train your favorite DreamWorks Dragons! Explore uncharted lands in a vast Viking world!Join Hiccup, Toothless and the gang to protect your village from the mysterious strangers that threaten peace on Berk. Who are they? And, what do they want from your harmonious homeland? Train your DreamWorks Dragons successfully and they’ll reveal new powers that will help to ensure the future of your island.Remember…it takes a village...and DRAGONS!This is YOUR Berk. It's time to RISE!* Please note: Rise of Berk is completely free to play but offers some game items for purchase with real money. If you choose not to use this feature, you can disable in-app purchases in your device’s settings.© 2014 Ludia Inc. 'How to Train Your Dragon 2' © 2014 DreamWorks Animation L.L.C. All Rights Reserved.""]"
B00GMHK4NS,furiosity,['Strip away every layer of the game. Every level has its own logic and there are 144 levels. Can you solve them all?Enjoy!@BartBonte']
B00E0OK2X2,Dropchord,"[""Dropchord is a music-driven, score challenge game with mesmerizing visuals and an original electronic soundtrack! Influenced by music visualizers and score attack arcade games, Dropchord is an original experience that'll test your dexterity while providing endless fun! Do your fingers and ears a favor-- get Dropchord today!!""]"
B00E0TK5G6,Small Town Terrors - Livingston,"[""Your family is missing and the town is in chaos in Small Town Terrors: Livingston! Search for your family, uncover the evil that has enveloped the town, and escape with your life in this mystifying Hidden Object Puzzle Adventure game. Explore abandoned buildings and search for helpful items as you try to piece together what has happened to the town. Find your family before it’s too late in Small Town Terrors: Livingston! TRY IT FREE, THEN UNLOCK THE FULL ADVENTURE FROM WITHIN THE GAME! Discover more from Big Fish Games! Big Fish is the leading global marketplace to discover and enjoy casual games. You can enjoy our virtually endless selection of games anytime, anywhere — on your PC, Mac, mobile phone, or tablet. Learn more at bigfishgames.com! We have other great Amazon Appstore games available. Just type in 'Big Fish Games' for more fun and adventure! You can always find an updated list of all of our PC, Mac, and mobile games at www.bigfishgames.com. Follow us on Twitter: http://bigfi.sh/BigFishTwitter Become a fan on Facebook: http://www.facebook.com/BigFishGamesMobile""]"
B009ZXT4BY,Survivalcraft Demo,"['You are marooned on the shores of an infinite blocky world. Explore, mine resources, craft tools and weapons, make traps and grow plants. Tailor clothes and hunt animals for food and resources. Build a shelter to survive cold nights and share your worlds online. Ride horses, camels or donkeys and herd cattle to protect them from predators. Blast your way through the rock with explosives. Build complex electric devices. Possibilities are infinite in this long-running sandbox survival and construction game series. This is the thirtieth release of Survivalcraft, and it adds a new armor and weapons tier - copper! You can now paint stairs, slab, fences and signs and place electric gates on the floor or ceiling. Wander in dense forests full of tall spruces and fallen logs. Explore bigger caves, but watch out for huge magma chambers underground (15x bigger than 1.28). There are new sound generator sounds for you to use, including hi-fi drums! Check out full list of 70 changes at http://kaalus.wordpress.com/updates-history Survivalcraft brings features you love in the PC version of Minecraft to your mobile device: infinite worlds, caves, logic elements (electricity), weather, boats, ridable animals, explosions, clothes, armor and many more. It does so while maintaining its own realistic, survival-themed style. Enjoy! Website: http://kaalus.wordpress.com Brief update history so far:- 1.0 (initial release, 16 Nov 2011)- 1.1 (screenshots, torches, lamps, tools, controls sensitivity, recipaedia)- 1.2 (sneaking, stairs, slabs, doors, ladders, snow, ice, christmas tree)- 1.3 (basalt, limestone, marble, furnace)- 1.4 (new world format, clay, bricks)- 1.5 (birds, weapons, throwing, food, eating)- 1.6 (emergency bugfix release)- 1.7 (trapdoors, water animations, snowballs, traps, wildboars, game modes)- 1.8 (buckets, water physics, magma, world properties, view angles)- 1.9 (Dropbox, fences, upside-down stairs and slabs)- 1.10 (optimizations, bulls, signs, sulphur, saltpeter, adventure mode)- 1.11 (explosives, fire, matches, magma as fluid)- 1.12 (wolves, cows, milk, diamonds, flat terrain, controls improvements)- 1.13 (creature spawners, eggs, saplings, compass, thermometer, grass spreading)- 1.14 (emergency bugfix release, hygrometer, sharper text)- 1.15 (big performance improvements, bears, machetes, adventure restart, cacti)- 1.16 (smoother framerate, polar bears, paint, falling blocks, environment modes)- 1.17 (3rd person view, 3d tools, creature shadows, physics optimizations)- 1.18 (rain, snow, thunderstorms, thawing/freezing, werewolves, pumpkins)- 1.19 (electricity, new UI, new recipaedia, new help, germanium + lots more)- 1.20 (community content, better caves, creative options, SD card)- 1.21 (fish, horseriding, electricity improvements, camels, leather + lots more)- 1.22 (survival, farming, boats, islands, more painting, pathfinding, rhinos and many other animals)- 1.23 (content rating, larger visibility range, analog electrics, halloween special, donkeys, bass)- 1.24 (bows and arrows, shooting target, reindeer, tigers, iron fences, ivy, feathers, string)- 1.25 (custom skins, new explosions engine, bombs, crossbows, fire arrows, new UI, stone fences)- 1.26 (clothes, armor, temperature effects, belugas, cassowarys, pumpkin and cotton farming)- 1.27 (moose, campfires, larger inventory, lightning button, more clothes, AI improvements, new engine)- 1.28 (firearms, dispensers, fireworks, digging cracks, left-handed controls)- 1.29 (more paintable items, copper armor and weapons, tall spruces, horizontal logs, bigger caves)']"
B00ENIR864,QR Scanner,"['QR Scanner app is very fast and easy to use - 100% FREE.Download the free QR Scanner for your smartphone now! QR Scanner for Android is optimised for Android platform v2.3 and later. In order to help improve this version, or should you have any trouble using it, please feel free to send your feedback to us using the support link in the QR Scanner app.']"
B0199P4V06,"Adventure Escape: Cult Mystery (Murder Case, Room, Doors, and Floors Detective Story!)","['Go undercover and investigate a mysterious cult to save your friend!Detective Kate Gray’s best friend Melissa, has gone missing after her “too good to be true” date. Kate investigates only to discover that Melissa has disappeared into a mysterious cult. Use your wits to solve puzzles and break into the cult. Meet other cult members and decide who is friend or foe. Go undercover to investigate the shadowy past of the cult and escape with Melissa.Join millions of happy Adventure Escape players and see if you can solve the Cult Mystery!Play this premium escape game!- Beautiful graphics bring haunting scenes to life!- Explore the cult grounds and unravel the story behind this mysterious place!- Solve devious puzzles and riddles!- Get the whole game for FREE! You’re never forced to pay!- Gather tools and items to aid in your escape!- Memorable characters!- Find hidden objects that help you break free!Uncover the secrets of Adventure Escape: Cult Mystery! Can you bring down the cult and escape before it’s too late?']"
B00UB051NA,VH1,"[""Enjoy Love & Hip Hop Atlanta, Black Ink Crew New York, Nick Cannon Presents: Wild 'N Out and many more, available right in the palm of your hand with the VH1 app. You'll also get exclusive content, including cast reactions, bonus clips and deleted scenes. Plus, you can now watch Pluto TV via the VH1 app on your Fire tablet!Watch full episodes from your favorite series the day after they air. Sign in with your TV or cable provider to unlock even more episodes and exclusive content, including:• Love & Hip Hop Atlanta• Black Ink Crew New York• Nick Cannon Presents: Wild 'n Out• Basketball Wives• VH1 Family Reunion: Love & Hip Hop Edition• Black Ink Crew Chicago• VH1 Couples Retreat• Love & Hip Hop Miami• Caught in the Act: Unfaithful• Love & Hip Hop New York• Black Ink Crew Compton• Love & Hip Hop Hollywood• RuPaul’s Secret Celebrity Drag RaceSigning in with your TV provider is simple: Just tap on Settings, select your provider, and log in with your provider username and password. For more details about signing in with your TV provider, contact appsupport@vh1.com. APP FEATURES:• We save your spot, so that you never miss a scene. Can't finish an episode? Continue watching right where you left off. Just tap on the series you were watching, and our video player does the rest.• Stream Live TV. That's right -- you can even watch VH1 in real time when you sign in with your TV provider.• Chromecast support lets you cast your favorite shows to your TV. Just hook up your TV and your Chromecast device.• Watch Pluto TV via the VH1 app on your Fire tablet.For more information about this app and online behavioral advertising, check out http://srp.viacom.com/sitefaq.html.The Terms of Use for this app include arbitration for disputes -- see http://legal.viacom.com/FAQs/.Privacy Policy: https://www.viacomcbsprivacy.com/policyCookies Policy: https://www.viacomcbsprivacy.com/cookiesDo Not Sell My Personal Information: https://www.viacomcbsprivacy.com/donotsell""]"
B019MP33I4,Eventide: Slavic Fable,"[""FANTASTIC HIDDEN OBJECT PUZZLE ADVENTURE GAME FROM THE CREATORS OF ENIGMATIS AND GRIM LEGENDS!Enter the magical world of Slavic myths! Embark on a quest to find a rare plant and save the mysterious creatures, living peacefully in a Heritage Park. Discover evil plans of Boruta and thwart them before it's too late!BUY ONCE - ENJOY ENDLESSLY!Unlock the game to own it forever!Eventide: Slavic Fable is an exciting adventure game inspired by Slavic mythology. Set in a contemporary heritage park where mythical Slavic creatures co-exist with humans, the adventure begins when the protagonist, a famous botanist, receives an alarming invitation from her grandmother, the park's curator. The protagonist is tasked with saving an endangered plant, but this turns out to be the least of her concerns. Her Grandma is kidnapped by the mysterious Boruta, who is plotting to conquer and destroy the world using the park's ancient magic. The protagonist must seek alliance with the creatures living in the park, in order to defeat the villain, save her Grandma, and prevent worldwide calamity. Will she be able to stop Boruta and his evil forces?• Find your way through 30 vivid locations to save your Grandma!• Test your intellect in 33 puzzling, unique HO scenes!• Master the game by unlocking 25 achievements!• Visit the magical Midsummer Forest in an additional adventure!+++ WE ARE HERE +++WWW: http://artifexmundi.comFACEBOOK: http://facebook.com/artifexmundiTWITTER: http://twitter.com/ArtifexMundiFORUM: http://forum.artifexmundi.comYOUTUBE: http://youtube.com/user/ArtifexMundiPINTEREST: http://pinterest.com/artifexmundiINSTAGRAM: http://instagram.com/artifexmundi""]"
B07PJY8DS5,Oxygen,"[""The Oxygen app is the best place to catch up on the most recent season of your favorite true crime shows, watch live TV, and stream movies and past season content! Download the Oxygen app now to watch full episodes of Snapped, Dateline: Secrets Uncovered, Killer Couples, AND MANY MORE!The Oxygen app is a must-have for crime fans who don’t want to miss out on new episodes, bonus clips, sneak peeks and more. Armchair detectives stay in the know with Oxygen, The True Network for Crime.Get started by signing in with your TV subscription (cable, satellite or digital). The Oxygen app supports most TV providers, including Charter, DirecTV, Xfinity, AT&T, and Optimum. Sign up for an NBCUniversal profile within the app using your Facebook, Google, or email account to sync your favorite shows across our family of apps and to continue watching progress across all your devices. You’ll also receive three credits to watch episodes for free before signing in with your TV provider.APP FEATURES:Watch Your Way• Watch the latest episodes of new Oxygen shows the day after they air on TV.• Live stream and schedule available 24/7 when signed in with your TV provider.• Can't finish an episode in one sitting? The app saves your place so that you can resume watching later! • Mark shows as your Favorites for quick access to the latest episodes.Explore NBCUniversal Content• Access to on demand content from across the NBCUniversal family of networks (including NBC, Bravo, E!, USA, SYFY, MSNBC, CNBC, Universal Kids, Telemundo, and Universo).• Live stream your favorite NBCUniversal networks within the app.• Dedicated page for each network showcasing the hottest series.• Catalog of recent and throwback favorites available to watch.• Filter shows by network and genre while browsing.TV Provider Access• Sign in with your TV subscription to gain access to the entire catalog of VOD & Live content.NBCUniversal Profile• Create an NBCUniversal Profile to favorite and save shows across all your devices.• Resume watching your favorite shows where you left off on any device.• Receive three credits to unlock episodes for FREE!COMMENTS OR QUESTIONS?Please reach out to support@nbctve.zendesk.com for assistance.Please note: Use of the app is limited to the United States and its territories. Video is accessible via 3G, 4G, LTE and Wi-Fi networks. Data charges may apply.This app features Nielsen proprietary measurement software which will allow you to contribute to market research, like Nielsen’s TV Ratings.To learn more about our digital measurement products and your choices in regard to them, please visit http://www.nielsen.com/digitalprivacy for more information.Product Feature Bullets• Sign in with your TV subscription to gain access to the entire catalog of VOD & Live content.• Create an NBCUniversal Profile to favorite and save shows across all your devices and receive three credits to unlock episodes for FREE!• Watch the latest episodes of new Oxygen shows the day after they air on TV.• Live stream and schedule available 24/7 when signed in with your TV provider.• Can't finish an episode in one sitting? The app saves your place so that you can resume watching later! • Mark shows as your Favorites for quick access to the latest episodes.• Access to on demand content from across the NBCUniversal family of networks (including NBC, Bravo, E!, USA, SYFY, MSNBC, CNBC, Universal Kids, Telemundo, and Universo).• Catalog of recent and throwback favorites available to watch.• Filter shows by network and genre while browsing.Privacy Policy: https://www.nbcuniversal.com/privacy?intake=Oxygen_MediaYour Privacy Choices: https://www.nbcuniversal.com/privacy/notrtoo?intake= Oxygen_MediaCA Notice: https://www.nbcuniversal.com/privacy/california-consumer-privacy-act?intake= Oxygen_Media""]"
